bill_id,safety_security,national_security,antitrust,civil_human_rights,industrial_policy
antitrust::CT Bill No. 8002,0.3531075463,0.3570674017,0.4382749915,0.4001975253,0.3918979988
antitrust::California Cartwright Act,0.3525277093,0.3620587602,0.4709547475,0.4285032585,0.3713208914
antitrust::Clayton Act,0.338523595,0.3985174969,0.4765009284,0.408215642,0.3844856992
antitrust::EU DMA,0.4443048343,0.4278816313,0.5030736625,0.4599526435,0.3923657849
antitrust::Sherman Act,0.3651190266,0.4071189597,0.411457777,0.3879814386,0.3614084363
antitrust::UK DMCCA 2024,0.3660356611,0.3857616708,0.5160737962,0.4287306234,0.368568477
antitrust::Ending Platform Monopolies Act,0.3772363082,0.3835015148,0.4919074625,0.4300370485,0.371708402
antitrust::Platform Competition and Opportunity Act,0.3866054878,0.4007935077,0.5432694018,0.4563572749,0.3994218513
antitrust::Preventing Algorithmic Collusion Act,0.4267132506,0.4448123991,0.5617192626,0.4905590385,0.432303527
antitrust::Open App Markets Act,0.4499244153,0.4511746675,0.5029481798,0.4693208784,0.4255407453
civil_human_rights::AAP - Combat Synthetic Media in the Legal System.docx,0.4113246202,0.4364534408,0.380272156,0.4360991329,0.3618242234
civil_human_rights::AAP - Ensure that Frontier AI Protects Free Speech and American Values.docx,0.4872219265,0.5187477946,0.4793922707,0.5121189654,0.4886446863
civil_human_rights::California Health and Insurance Code Amendment,0.4715028033,0.4658918187,0.4472177118,0.5045276672,0.450100933
civil_human_rights::California Generative AI: Training Data Transparency Bill,0.5053658783,0.516865471,0.4623461723,0.5292944491,0.4831295028
civil_human_rights::Colorado AI Act,0.6069052726,0.5669277132,0.5382597506,0.6744601488,0.5158314019
civil_human_rights::Florida Artificial Intelligence Bill of Rights,0.4988801062,0.5152205139,0.4939092547,0.5674542278,0.4935520202
civil_human_rights::Illinois Human Rights Act,0.5048910096,0.513013795,0.4885636792,0.5569017529,0.5299980372
civil_human_rights::Maine Chatbot Disclosure Act,0.4260224298,0.4130041495,0.4289163128,0.4731360212,0.4043899
civil_human_rights::NYC Automated Employment Decision Tools,0.4231139198,0.3649341196,0.3894151747,0.4726185918,0.3806121528
